Dates,PX_BID,LAST_PRICE,CHG_PCT_1D
25-08-2011,46.055,46.0575,0.1359
26-08-2011,46.15,46.155,0.2117
29-08-2011,46.05,46.0537,-0.2195
30-08-2011,46.09,46.095,0.0897
02-09-2011,45.78,45.7875,-0.6671
05-09-2011,45.98,45.9862,0.434
06-09-2011,46.1,46.1087,0.2664
07-09-2011,46.165,46.1675,0.1275
08-09-2011,46.1925,46.1962,0.0622
09-09-2011,46.56,46.565,0.7983
12-09-2011,47.22,47.225,1.4174
13-09-2011,47.59,47.595,0.7835
14-09-2011,47.65,47.655,0.1261
15-09-2011,47.55,47.555,-0.2098
16-09-2011,47.2625,47.2675,-0.6046
19-09-2011,47.8125,47.8175,1.1636
20-09-2011,48.0525,48.0562,0.4992
21-09-2011,48.33,48.335,0.5802
22-09-2011,49.57,49.575,2.5654
23-09-2011,49.43,49.435,-0.2824
26-09-2011,49.4475,49.4587,0.0479
27-09-2011,49.07,49.075,-0.7758
28-09-2011,48.745,48.7525,-0.6572
29-09-2011,48.9475,48.9637,0.4332
03-10-2011,49.1525,49.1588,0.3985
04-10-2011,49.3925,49.4,0.4907
05-10-2011,49.34,49.345,-0.1113
07-10-2011,49.15,49.155,-0.385
10-10-2011,48.97,48.9762,-0.3637
11-10-2011,49.32,49.325,0.7122
12-10-2011,48.955,48.96,-0.74
13-10-2011,49.12,49.125,0.337
14-10-2011,49.0175,49.0225,-0.2087
17-10-2011,48.9475,48.95,-0.1479
18-10-2011,49.29,49.295,0.7048
19-10-2011,49.15,49.155,-0.284
20-10-2011,49.805,49.8075,1.3274
21-10-2011,50.015,50.0225,0.4317
24-10-2011,49.825,49.835,-0.3748
25-10-2011,49.5,49.5075,-0.6572
26-10-2011,49.495,49.5025,-0.0101
27-10-2011,49.3,49.37,-0.2677
28-10-2011,48.76,48.765,-1.2254
31-10-2011,48.69,48.695,-0.1435
01-11-2011,49.26,49.265,1.1706
02-11-2011,49.18,49.185,-0.1624
03-11-2011,49.13,49.1387,-0.0941
04-11-2011,49.105,49.1112,-0.056
08-11-2011,49.475,49.48,0.7509
09-11-2011,50.17,50.175,1.4046
11-11-2011,50.11,50.115,-0.1196
14-11-2011,50.285,50.29,0.3492
15-11-2011,50.6675,50.6737,0.763
16-11-2011,50.735,50.7375,0.1259
17-11-2011,50.89,50.8962,0.3128
18-11-2011,51.33,51.335,0.8621
21-11-2011,52.14,52.145,1.5779
22-11-2011,52.295,52.3225,0.3404
23-11-2011,52.37,52.375,0.1003
24-11-2011,52.065,52.0712,-0.58
25-11-2011,52.25,52.255,0.353
28-11-2011,51.96,51.965,-0.555
29-11-2011,52,52.0125,0.0914
30-11-2011,52.2,52.2112,0.382
01-12-2011,51.455,51.4675,-1.4244
02-12-2011,51.2,51.205,-0.51
05-12-2011,51.4125,51.4162,0.4125
06-12-2011,51.26,51.27,-0.2843
07-12-2011,51.71,51.7175,0.8728
08-12-2011,51.755,51.76,0.0822
09-12-2011,52.035,52.0412,0.5433
12-12-2011,52.83,52.835,1.5253
13-12-2011,53.22,53.225,0.7381
14-12-2011,53.71,53.715,0.9206
15-12-2011,53.64,53.645,-0.1303
16-12-2011,52.74,52.74,-1.687
19-12-2011,52.87,52.885,0.2749
20-12-2011,52.88,52.8875,0.0047
21-12-2011,52.48,52.485,-0.761
22-12-2011,52.7225,52.7275,0.462
23-12-2011,52.955,52.9587,0.4385
26-12-2011,52.7075,52.7112,-0.4673
27-12-2011,53.02,53.0275,0.6001
28-12-2011,53.0475,53.0537,0.0494
29-12-2011,53.0475,53.055,0.0025
30-12-2011,53.06,53.065,0.0188
02-01-2012,53.3025,53.3062,0.4545
03-01-2012,53.22,53.225,-0.1523
04-01-2012,52.97,52.975,-0.4697
05-01-2012,52.98,52.985,0.0189
06-01-2012,52.7175,52.7212,-0.4979
09-01-2012,52.51,52.515,-0.3911
10-01-2012,51.7,51.705,-1.5424
11-01-2012,51.8875,51.8925,0.3626
12-01-2012,51.5875,51.59,-0.5829
13-01-2012,51.52,51.5275,-0.1211
16-01-2012,51.39,51.395,-0.2571
17-01-2012,50.705,50.7112,-1.3305
18-01-2012,50.4025,50.415,-0.5841
19-01-2012,50.23,50.235,-0.357
20-01-2012,50.3275,50.3337,0.1965
23-01-2012,50.0775,50.0825,-0.4991
24-01-2012,50.065,50.0687,-0.0276
25-01-2012,50.0975,50.0987,0.0599
26-01-2012,49.935,#N/A N/A,#N/A N/A
27-01-2012,49.31,49.315,-1.5643
30-01-2012,49.795,49.7988,0.981
31-01-2012,49.45,49.455,-0.6904
01-02-2012,49.27,49.2738,-0.3664
02-02-2012,49.15,49.16,-0.231
03-02-2012,48.69,48.695,-0.9459
06-02-2012,49.05,49.055,0.7393
07-02-2012,49.205,49.2125,0.3211
08-02-2012,49.145,49.15,-0.127
09-02-2012,49.5,49.505,0.7223
10-02-2012,49.4025,49.41,-0.1919
13-02-2012,49.19,49.1963,-0.4325
14-02-2012,49.36,49.3688,0.3506
15-02-2012,49.28,49.2875,-0.1647
17-02-2012,49.27,49.275,-0.0254
21-02-2012,49.3025,49.3063,0.0635
22-02-2012,49.2225,49.2288,-0.1572
23-02-2012,49.1925,49.1988,-0.0609
24-02-2012,48.94,48.945,-0.5159
27-02-2012,49.2275,49.2337,0.5898
28-02-2012,49.07,49.0762,-0.3199
29-02-2012,49.0175,49.0238,-0.1068
01-03-2012,49.215,49.22,0.4002
02-03-2012,49.495,49.5,0.5689
05-03-2012,49.8375,49.8538,0.7147
06-03-2012,50.37,50.3763,1.0481
07-03-2012,50.28,50.2862,-0.1789
09-03-2012,49.85,49.855,-0.8575
12-03-2012,49.9775,49.9825,0.2557
13-03-2012,49.9275,49.935,-0.095
14-03-2012,49.9,49.905,-0.0601
15-03-2012,50.38,50.3863,0.9644
16-03-2012,50.185,50.1912,-0.3872
19-03-2012,50.2275,50.2337,0.0847
20-03-2012,50.39,50.395,0.3211
21-03-2012,50.6525,50.6575,0.5209
22-03-2012,51.215,51.2188,1.108
26-03-2012,51.265,51.27,0.1
27-03-2012,50.71,50.715,-1.0825
28-03-2012,50.78,50.785,0.138
29-03-2012,51.39,51.395,1.2011
30-03-2012,50.87,50.875,-1.0118
03-04-2012,50.71,50.715,-0.3145
04-04-2012,51.1,51.105,0.769
09-04-2012,51.14,51.145,0.0783
10-04-2012,51.47,51.475,0.6452
11-04-2012,51.42,51.425,-0.0971
12-04-2012,51.585,51.5887,0.3183
13-04-2012,51.2975,51.3025,-0.5548
16-04-2012,51.67,51.6775,0.731
17-04-2012,51.475,51.4837,-0.375
18-04-2012,51.775,51.78,0.5755
19-04-2012,52.14,52.145,0.7049
